ID,Length,Osculum,Camera
8,10.25,2,6
9,8.501,2,6
10,10.25,2,6
11,8.876,2,6
12,9.376,2,6
13,9.253,2,6
14,8.876,2,6
15,8.629,2,6
16,9.626,2,6
17,8,2,6
18,8.251,2,6
19,8.625,2,6
20,7.754,2,6
21,8,2,6
22,6.25,2,6
23,7.126,2,6
24,8.5,2,6
25,8.376,2,6
26,9,2,6
27,10.625,2,6
28,8.126,2,6
29,8.376,2,6
30,8.875,2,6
31,8.5,2,6
32,6.75,2,6
33,8.375,2,6
34,10.251,2,6
35,8.629,2,6
36,8.629,2,6
37,7.626,2,6
38,10.25,2,6
39,8.751,2,6
40,8.001,2,6
41,9.25,2,6
42,10.126,2,6
43,8.751,2,6
44,9,2,6
45,8.75,2,6
46,8.875,2,6
47,8.75,2,6
48,9,2,6
49,8.251,2,6
50,9.001,2,6
51,8.75,2,6
52,7.125,2,6
53,6.376,2,6
54,7.126,2,6
55,6.751,2,6
56,7.376,2,6
57,6.75,2,6
58,8.376,2,6
59,9.251,2,6
1,14.342,3,6
2,11.005,3,6
3,12.005,3,6
4,13.001,3,6
5,12.338,3,6
6,11.835,3,6
7,10.668,3,6
8,10.335,3,6
9,11.511,3,6
10,11.168,3,6
11,10.5,3,6
12,8.002,3,6
13,7,3,6
14,7.849,3,6
15,7.667,3,6
16,9,3,6
17,10.006,3,6
18,9.335,3,6
19,9.333,3,6
20,9.335,3,6
21,9.835,3,6
22,9.168,3,6
23,8.5,3,6
24,9.335,3,6
25,10.339,3,6
26,9,3,6
27,11.172,3,6
28,11.335,3,6
29,8.833,3,6
30,9.501,3,6
31,9.833,3,6
32,9,3,6
33,10.5,3,6
34,14.016,3,6
35,12.838,3,6
36,12.333,3,6
37,8.667,3,6
38,10.001,3,6
39,9.335,3,6
40,7.833,3,6
41,8.502,3,6
42,9,3,6
43,7.835,3,6
44,6.167,3,6
45,8.167,3,6
46,11.005,3,6
47,10.339,3,6
48,9.835,3,6
49,9.335,3,6
50,10,3,6
51,12.668,3,6
52,12.338,3,6
53,11,3,6
54,10.668,3,6
55,13.837,3,6
56,10.333,3,6
57,10.001,3,6
58,7.668,3,6
59,9.5,3,6
60,10.168,3,6
61,10.672,3,6
62,11.172,3,6
63,8.833,3,6
64,9.339,3,6
65,9.672,3,6
66,8.34,3,6
67,8.833,3,6
68,10.167,3,6
69,9.501,3,6
70,7.502,3,6
71,11.001,3,6
72,9.668,3,6
73,8,3,6
74,10.001,3,6
